row_id|character_name|male|female
615|Dalton Rindell|1.0|0.0
617|Damian|1.0|0.0
618|Damon|1.0|0.0
619|Dan|1.0|0.0
620|Dan Hoffman|1.0|0.0
621|Dana Lewis|1.0|0.0
622|Dana McGuire|1.0|1.0
623|Dana Simpson|1.0|1.0
626|Dani|1.0|1.0
627|Dani Beck|1.0|0.0
628|Daniel|1.0|1.0
629|Daniel Brooks|1.0|1.0
630|Daniel Brown|1.0|1.0
631|Daniel Hardy|1.0|1.0
632|Danielle|0.0|1.0
633|Danielle Masoner|0.0|1.0
635|Danny|1.0|1.0
636|Danny Burrell|1.0|1.0
637|Danny Proctor|1.0|1.0
638|Danny Tatum|0.0|1.0
641|Darius|1.0|0.0
642|Darius Parker|1.0|0.0
643|Darius Retafian|1.0|0.0
644|Darlene Sadler|0.0|1.0
645|Darryl Kern|1.0|1.0
647|Dave Morley|1.0|0.0
648|Dave Spence|1.0|0.0
649|David|1.0|0.0
650|David Adams|1.0|0.0
651|David Anderson|1.0|0.0
652|David Hamoud|1.0|0.0
653|David Hasselhoff|1.0|0.0
654|David ID|1.0|0.0
655|David Jeffries|1.0|0.0
656|David Kelp|1.0|0.0
657|David Marolo|1.0|0.0
658|David McKuin|1.0|0.0
659|David Moore|1.0|0.0
660|Davis Langley|1.0|0.0
661|Dawn|0.0|1.0
662|Dawn Trent|1.0|0.0
664|Dean|1.0|0.0
665|Dean Woodruff|1.0|0.0
667|Debbie|0.0|1.0
668|Deborah|0.0|1.0
669|Deborah Latrell|0.0|1.0
670|Dede|0.0|1.0
671|Dede Aston|0.0|1.0
672|Deena|0.0|1.0
673|Deena Meredith|1.0|1.0
677|Denis|1.0|0.0
678|Denise|0.0|1.0
680|Dennis|1.0|0.0
681|Dennis Caulfield|1.0|0.0
682|Dennis Papillion|1.0|0.0
685|Derek|1.0|0.0
686|Derek Lord|1.0|0.0
687|Derek Pfeiffer|1.0|0.0
688|Derrick|1.0|0.0
690|Desert Storm|0.0|1.0
691|Detective Benson|1.0|0.0
693|Detective Dan Lattimer|1.0|0.0
694|Detective Frank Bremmer|1.0|1.0
696|Detective Kevin Bernard|1.0|0.0
697|Detective Lewis|1.0|0.0
702|Detectives Bernard|1.0|0.0
707|Dewey|1.0|0.0
708|Diane|0.0|1.0
709|Dick Tracy|1.0|1.0
710|Dickie|1.0|0.0
711|Dickie Stabler|1.0|0.0
713|Diego|1.0|0.0
714|Diego Benitez|1.0|0.0
715|Diego Ramirez|1.0|0.0
725|Doe|0.0|1.0
729|Dominique|1.0|1.0
730|Donald Alvers|1.0|0.0
731|Donna Leonte|0.0|1.0
733|Donny Spencer|1.0|0.0
734|Donovan|1.0|0.0
735|Dori|0.0|1.0
736|Doris|0.0|1.0
737|Doris Harrington|0.0|1.0
738|Doug|1.0|0.0
739|Doug Waverly|1.0|0.0
744|Drew|1.0|1.0
745|Drew Farmer|1.0|1.0
749|Duke Law School|1.0|0.0
753|Dwight Stannich|1.0|0.0
754|Dylan|1.0|0.0
772|Eddie|1.0|1.0
773|Eddie Allen Poe|1.0|0.0
774|Eddie Blanco|1.0|1.0
775|Eddie Green|1.0|1.0
776|Eden|0.0|1.0
778|Edgar Varick|1.0|0.0
780|El Salvador|1.0|0.0
781|Elaine|0.0|1.0
786|Eldon Balogh|1.0|0.0
787|Elena|0.0|1.0
788|Elena Brevet|0.0|1.0
790|Eliot|1.0|0.0
791|Eliza Glaser|0.0|1.0
792|Elizabeth|0.0|1.0
793|Elizabeth Hassenback|0.0|1.0
794|Elizabeth Olivet|0.0|1.0
795|Elizabeth Stabler|0.0|1.0
796|Ella|0.0|1.0
797|Ellen|0.0|1.0
798|Ellen Sazelin|0.0|1.0
799|Ellen Travis|1.0|0.0
800|Elliot|1.0|0.0
801|Elliot Agent Porter|1.0|0.0
802|Elliot Katie|0.0|1.0
803|Elliot Stabler|1.0|0.0
808|Emily|0.0|1.0
809|Emily Keefe|1.0|0.0
810|Emily McCooper|0.0|1.0
811|Emily Porter|1.0|0.0
812|Emily Waterbury|0.0|1.0
813|Emma|0.0|1.0
814|Emma Kim|1.0|1.0
815|Emmanuel|1.0|0.0
816|Emmanuel Clemente|1.0|0.0
821|Enter Oliver Gates|0.0|1.0
824|Eric|1.0|0.0
825|Eric Bruny|1.0|0.0
826|Eric Campbell|1.0|0.0
827|Eric Plummer|1.0|0.0
828|Eric Winton|1.0|0.0
829|Erin Russ|1.0|0.0
830|Ernesto|1.0|0.0
831|Ernesto Diaz|1.0|0.0
832|Esau|1.0|0.0
835|Ethel Barnet|0.0|1.0
838|Eugene|1.0|0.0
839|Eugene Hoff|1.0|0.0
841|Evan|1.0|0.0
842|Evan Holt|1.0|0.0
843|Evan Jonathan|1.0|0.0
844|Evelyn|1.0|1.0
845|Evelyn Prichard|1.0|1.0
852|FBI Agent Dana Lewis|1.0|0.0
853|FBI Agent Dean Porter|1.0|0.0
854|FBI Agent Porter|1.0|0.0
861|Father Denis|1.0|0.0
862|Father Gregory|1.0|0.0
865|Father Michael|1.0|0.0
870|Fedora|0.0|1.0
871|Fedora Bandits|0.0|1.0
873|Felix|1.0|0.0
887|Finn|1.0|0.0
893|Fitzgerald|1.0|0.0
894|Florida|0.0|1.0
896|Flynn|1.0|0.0
899|Ford Taurus|1.0|0.0
900|Ford Tauruses|1.0|0.0
902|Fort Dietrich|1.0|0.0
903|Fort Dix|0.0|1.0
904|Foster|1.0|0.0
905|France|0.0|1.0
906|Frances|0.0|1.0
907|Francesca|0.0|1.0
908|Francine|0.0|1.0
909|Francis|1.0|1.0
910|Frank|1.0|1.0
911|Frank Andreas|1.0|0.0
912|Frank Barbarosa|1.0|1.0
913|Frank Hovis|1.0|1.0
914|Frank Martin|1.0|0.0
915|Frank Taggart|1.0|1.0
916|Franklin|1.0|0.0
918|French|1.0|0.0
919|French Resistance|1.0|0.0
923|Fulton|1.0|0.0
929|Gabriel|1.0|1.0
930|Gabrielle|0.0|1.0
937|Garcia|1.0|0.0
938|Gardner|1.0|0.0
940|Gates|0.0|1.0
941|Gay Officer|1.0|1.0
942|Geneva|0.0|1.0
943|George|1.0|1.0
944|George Huang|1.0|1.0
945|George Kazinski|1.0|1.0
946|Georgia|1.0|1.0
948|Gerald Morgan|1.0|1.0
949|Gerard|1.0|0.0
953|Gina|0.0|1.0
954|Gina Bernardo|1.0|0.0
955|Gina Maylor|0.0|1.0
956|Gina Silver|0.0|1.0
957|Ginger|1.0|1.0
958|Ginger Ale|1.0|1.0
959|Ginger Maxon|1.0|1.0
961|Gita|0.0|1.0
963|Gladys|0.0|1.0
964|Glenn|1.0|1.0
966|Gloria|0.0|1.0
967|Gloria Culhane|0.0|1.0
968|Gloria Stanfield|1.0|0.0
974|Grace|1.0|1.0
993|Greg|1.0|0.0
994|Greg Engels|1.0|0.0
995|Greg Hartley|1.0|0.0
996|Greg Tanner|1.0|0.0
997|Gregg Robinson|1.0|0.0
998|Gregory|1.0|0.0
999|Gregory Searle|1.0|0.0
1002|Greta|0.0|1.0
1003|Greta Esterman|0.0|1.0
1004|Gretchen|1.0|1.0
1005|Gretchen Quinn|1.0|1.0
1010|Gunther|1.0|0.0
1011|Gus|1.0|1.0
1012|Gus Yoder|1.0|1.0
1019|Hadley|1.0|0.0
1020|Hal|1.0|0.0
1021|Hal Shipley|1.0|0.0
1024|Hale|1.0|0.0
1025|Haley|1.0|1.0
1032|Hanford|1.0|0.0
1033|Hanford University|1.0|0.0
1035|Hannah|0.0|1.0
1036|Hannah Cooper|1.0|0.0
1039|Harlin|1.0|0.0
1040|Harold|1.0|0.0
1043|Harrison|1.0|0.0
1044|Harry Waters|1.0|0.0
1045|Hartley|1.0|0.0
1046|Harvey Denis|1.0|0.0
1047|Haven House|1.0|0.0
1048|Hayes|1.0|0.0
1049|Hayley|0.0|1.0
1050|Hayley Koslow|0.0|1.0
1052|Heather|0.0|1.0
1055|Hector|1.0|0.0
1056|Hector Santiago|1.0|0.0
1063|Henry|1.0|0.0
1064|Henry Hudson|1.0|0.0
1065|Henry Williams|1.0|0.0
1070|Hickey Evan|1.0|0.0
1083|Honey Do|0.0|1.0
1084|Honey Rapist|0.0|1.0
1085|Honor|0.0|1.0
1086|Hope|0.0|1.0
1087|Hope Garrett|1.0|0.0
1092|Howard|1.0|0.0
1094|Hudson|1.0|0.0
1095|Hudson River|1.0|0.0
1096|Hudson University|1.0|0.0
1107|Ian Felson|1.0|0.0
1110|Ileana Jashari|0.0|1.0
1112|Imelda|0.0|1.0
1117|Inez|0.0|1.0
1118|Ingrid|0.0|1.0
1119|Ingrid Block|0.0|1.0
1127|Inwood Hill Park|1.0|0.0
1129|Irene|0.0|1.0
1131|Isaac|1.0|0.0
1135|Israel|1.0|0.0
1141|Jack|1.0|0.0
1142|Jack Hammond|1.0|0.0
1143|Jack McCoy|1.0|0.0
1144|Jackie|1.0|1.0
1145|Jackie Landricks|1.0|1.0
1146|Jackie Scott|1.0|0.0
1147|Jackson|1.0|0.0
1149|Jacob|1.0|0.0
1150|Jacob Nesbit|1.0|0.0
1155|Jake|1.0|0.0
1156|Jake Tierney|0.0|1.0
1159|James|1.0|0.0
1160|James Doyle|1.0|0.0
1161|James Randall|1.0|0.0
1162|Jamie|1.0|1.0
1163|Jamie Hoskins|1.0|1.0
1164|Jamie Ross|1.0|0.0
1165|Jana Whitlock|0.0|1.0
1166|Jane|0.0|1.0
1167|Jane Doe|0.0|1.0
1168|Jane Does|0.0|1.0
1169|Jane Tyler|1.0|0.0
1170|Jane Williams|0.0|1.0
1171|Janey|0.0|1.0
1172|Janis|0.0|1.0
1173|Janis Donovan|1.0|0.0
1178|Jasmine|0.0|1.0
1179|Jason|1.0|0.0
1180|Jason Gambel|1.0|0.0
1181|Jason King|1.0|0.0
1182|Jason Rundberg|1.0|0.0
1183|Jasper|1.0|0.0
1184|Jay|1.0|0.0
1185|Jazmin|0.0|1.0
1186|Jeanne|0.0|1.0
1187|Jeff Suiter|1.0|0.0
1189|Jeffrey|1.0|0.0
1190|Jeffrey Whitlock|1.0|0.0
1191|Jeffrey Wigand|1.0|0.0
1193|Jeffries Lenora|0.0|1.0
1194|Jen|0.0|1.0
1196|Jenna|0.0|1.0
1198|Jennifer|0.0|1.0
1199|Jennifer Benitez|0.0|1.0
1200|Jennifer Brown|0.0|1.0
1201|Jennifer Durning|0.0|1.0
1202|Jennifer Neal|1.0|0.0
1203|Jenny|0.0|1.0
1204|Jenny White|0.0|1.0
1205|Jenny White Rochester|1.0|0.0
1207|Jeremy|1.0|0.0
1208|Jeremy Brice|1.0|0.0
1209|Jerome Raleigh|1.0|0.0
1210|Jerry|1.0|1.0
1211|Jerry Bullard|1.0|1.0
1213|Jesse|1.0|1.0
1214|Jesse Hansen|1.0|1.0
1215|Jesse Kleberg|1.0|1.0
1216|Jesse Ray|1.0|1.0
1217|Jessica|0.0|1.0
1218|Jessie Taylor|1.0|0.0
1219|Jesus|1.0|0.0
1222|Jill|0.0|1.0
1223|Jill Hoffman|0.0|1.0
1224|Jill Templeton|1.0|0.0
1225|Jim|1.0|0.0
1226|Jim Delmonico|1.0|0.0
1227|Jimmy|1.0|0.0
1228|Jimmy Buffet|1.0|0.0
1229|Jimmy Walp|1.0|0.0
1230|Joan|0.0|1.0
1231|Joan Arliss|0.0|1.0
1232|Joan Moore|1.0|0.0
1233|Joan Simon|1.0|0.0
1234|Jodi|1.0|1.0
1235|Joe|1.0|0.0
1236|Joe Bandolini|1.0|0.0
1237|Joe Sherman|1.0|0.0
1238|Joel|1.0|0.0
1239|Joel Parven|1.0|0.0
1240|Joey|1.0|1.0
1241|Joey Field|1.0|1.0
1243|John|1.0|0.0
1244|John Blackmun|1.0|0.0
1245|John Doe|0.0|1.0
1246|John Fenwick|1.0|0.0
1247|John Flynn|1.0|0.0
1248|John Kramer|1.0|0.0
1249|John Locke High|1.0|0.0
1250|Johnny Schmidt|1.0|0.0
1253|Jonah|1.0|0.0
1254|Jonah Leland|1.0|1.0
1255|Jonathan|1.0|0.0
1256|Jonathan Smith|1.0|0.0
1258|Jordan|1.0|1.0
1259|Jordan Hayes|1.0|0.0
1260|Jordan Owens|1.0|1.0
1261|Jordan River|1.0|1.0
1262|Jordana Weitz|0.0|1.0
1263|Jose|1.0|0.0
1264|Joshua|1.0|0.0
1265|Joshua Friedman|1.0|0.0
1266|Josie|0.0|1.0
1267|Josie Post|0.0|1.0
1268|Joy|0.0|1.0
1269|Joyce|0.0|1.0
1270|Juan|1.0|0.0
1271|Juan Alvarez|1.0|0.0
1272|Juan Pablo|1.0|0.0
1275|Judd|1.0|0.0
1277|Judson Martin Tierney|0.0|1.0
1278|Judson Tierney|0.0|1.0
1279|Judy Trahill|1.0|1.0
1280|Julian|1.0|0.0
1281|Julian Cooper|1.0|0.0
1282|Julie Ryan|1.0|0.0
1285|Justin|1.0|1.0
1290|Karen|0.0|1.0
1291|Karen Fitzgerald|1.0|0.0
1292|Karen Hall|1.0|0.0
1293|Karen Leighton|1.0|0.0
1294|Karen Raye|0.0|1.0
1295|Karen Wyman|0.0|1.0
1296|Karl|1.0|0.0
1297|Karl Serrit|1.0|0.0
1298|Katharine|0.0|1.0
1299|Kathleen|0.0|1.0
1300|Kathy|0.0|1.0
1301|Katie|0.0|1.0
1302|Katie Harris|1.0|0.0
1303|Katie Nicholson|0.0|1.0
1305|Katrina|0.0|1.0
1306|Katya|0.0|1.0
1307|Katya Alexander|1.0|0.0
1310|Keith|1.0|0.0
1311|Keith Gerard|1.0|0.0
1312|Keith Willis|1.0|0.0
1313|Kelley|1.0|1.0
1314|Kelly Wolcott|1.0|1.0
1316|Ken|1.0|0.0
1317|Ken Randall|1.0|0.0
1318|Ken Turner|1.0|0.0
1319|Kendal|1.0|0.0
1320|Kendall|1.0|0.0
1321|Kennedy Airport|1.0|0.0
1322|Kennedy International|1.0|0.0
1323|Kenneth Maggio|1.0|0.0
1324|Kenneth Pratt|1.0|0.0
1325|Kenny Teachen|1.0|0.0
1329|Kevin|1.0|0.0
1330|Kevin Franklin|1.0|0.0
1333|Kim|1.0|1.0
1334|Kim Hoffman|1.0|1.0
1335|Kimberly Phillips|0.0|1.0
1338|Kitty|0.0|1.0
1350|Kyle|1.0|1.0
1351|Kyle Ackerman|1.0|1.0
1362|Lana Hoffman|0.0|1.0
1367|Lara|0.0|1.0
1368|Lara Todd|1.0|0.0
1370|Larissa|0.0|1.0
1371|Larissa Welsh|1.0|0.0
1372|Larry|1.0|0.0
1373|Larry Holt|1.0|0.0
1374|Larry Johnson|1.0|0.0
1375|Larry Plus|1.0|0.0
1385|Lauren|1.0|1.0
1386|Lauren Mobley|1.0|1.0
1387|Lauren Westley|1.0|0.0
1388|Laurie|1.0|1.0
1389|Lawrence|1.0|0.0
1390|Lawrence Fuller|1.0|0.0
1391|Lawrence Grabowski|1.0|0.0
1392|Layla|0.0|1.0
1393|Layla Briggs|1.0|0.0
1396|Leah|0.0|1.0
1400|Lena|0.0|1.0
1401|Lennie|1.0|0.0
1402|Lennie Briscoe|1.0|0.0
1404|Lenora|0.0|1.0
1405|Lenora Bernstein|0.0|1.0
1406|Lenore|0.0|1.0
1411|Lewis|1.0|0.0
1416|Liam|1.0|0.0
1417|Liam Black|1.0|0.0
1418|Liam Connors|1.0|0.0
1420|Lieutenant Shea|1.0|1.0
1425|Lila White|0.0|1.0
1426|Lilly|0.0|1.0
1427|Lily|0.0|1.0
