season,season_num,series_num,title,director,writer,code,viewership
10,8,210,Persona,Helen Shaver,Amanda Green,10009,8550000.0
10,9,211,PTSD,Eriq La Salle,Judith McCreary,10007,10310000.0
10,10,212,Smut,Chris Eyre,Kam Miller,10010,10930000.0
10,11,213,Stranger,David Platt,Dawn DeNoon,10011,10640000.0
10,12,214,Hothouse,Peter Leto,Charley Davis,10012,9660000.0
10,13,215,Snatched,David Platt,Mick Betancourt,10013,10310000.0
10,14,216,Transitions,Peter Leto,Ken Storer,10014,9450000.0
10,15,217,Lead,David Platt,Jonathan Greene,10015,11030000.0
10,16,218,Ballerina,Peter Leto,Daniel Truly,10016,10580000.0
10,17,219,Hell,David Platt,Amanda Green,10017,9340000.0
10,18,220,Baggage,Christopher Zalla,Judith McCreary,10018,9080000.0
10,19,221,Selfish,David Platt,Mick Betancourt,10019,10230000.0
10,20,222,Crush,Peter Leto,Jonathan Greene,10020,9790000.0
10,21,223,Liberties,Juan José Campanella,Dawn DeNoon,10021,6730000.0
10,22,224,Zebras,Peter Leto,Amanda Green & Daniel Truly,10022,11340000.0
11,1,225,Unstable,Arthur W. Forney,Judith McCreary,11001,8359999.9999999991
11,2,226,Sugar,Peter Leto,Daniel Truly,11002,7900000.0
11,3,227,Solitary,Helen Shaver,Amanda Green,11003,8289999.9999999991
11,4,228,Hammered,Peter Leto,Dawn DeNoon,11004,8770000.0
11,5,229,Hardwired,David Platt,Mick Betancourt,11005,9150000.0
11,6,230,Spooked,Peter Leto,Jonathan Greene,11006,8240000.0
11,7,231,Users,David Platt,Michael Angeli,11008,7940000.0
11,8,232,Turmoil,Peter Leto,Judith McCreary,11009,8770000.0
11,9,233,Perverted,David Platt,Dawn DeNoon,11010,8440000.0
11,10,234,Anchor,Jonathan Kaplan,Amanda Green & Daniel Truly,11007,7910000.0
11,11,235,Quickie,David Platt,Ken Storer,11011,11490000.0
11,12,236,Shadow,Amy Redford,Amanda Green,11012,7650000.0
11,13,237,P.C.,Juan J. Campanella,Daniel Truly,11015,7470000.0
11,14,238,Savior,Peter Leto,Mick Betancourt,11014,9040000.0
11,15,239,Confidential,Peter Leto,Jonathan Greene,11013,8570000.0
11,16,240,Witness,David Platt,Dawn DeNoon & Christine M. Torres,11016,9650000.0
11,17,241,Disabled,Paul Black,Judith McCreary,11017,10580000.0
11,18,242,Bedtime,Helen Shaver,Teleplay: Neal Baer & Daniel Truly Story: Charley Davis,11018,10080000.0
11,19,243,Conned,David Platt,Ken Storer,11019,8359999.9999999991
11,20,244,Beef,Peter Leto,Lisa Loomer,11020,8750000.0
11,21,245,Torch,Peter Leto,Mick Betancourt & Amanda Green,11021,9480000.0
11,22,246,Ace,David Platt,Jonathan Greene,11022,8420000.0
11,23,247,Wannabe,David Platt,Dawn DeNoon,11023,8560000.0
11,24,248,Shattered,Peter Leto,Amanda Green & Daniel Truly,11024,8610000.0
12,1,249,Locum,Arthur W. Forney,Dawn DeNoon,12001,9680000.0
12,2,250,Bullseye,Peter Leto,Daniel Truly,12002,10360000.0
12,3,251,Behave,Helen Shaver,Jonathan Greene,12003,9480000.0
12,4,252,Merchandise,Peter Leto,Judith McCreary,12004,8690000.0
12,5,253,Wet,Jonathan Kaplan,Speed Weed,12005,8130000.0000000009
12,6,254,Branded,Peter Leto,Chris Brancato,12006,8740000.0
12,7,255,Trophy,Donna Deitch,Ken Storer,12007,8130000.0000000009
12,8,256,Penetration,Peter Leto,Christine M. Torres & Dawn DeNoon,12008,7180000.0
12,9,257,Gray,Helen Shaver,George Huang,12009,7650000.0
12,10,258,Rescue,Peter Leto & Constantine Makris,Daniel Truly,12010,9220000.0
12,11,259,Pop,Norberto Barba,Jonathan Greene,12012,10600000.0
12,12,260,Possessed,Constantine Makris,Brian Fagan,12013,10600000.0
12,13,261,Mask,Donna Deitch,Speed Weed,12015,8390000.0
12,14,262,Dirty,Helen Shaver,Judith McCreary,12011,6970000.0
12,15,263,Flight,Alex Chapple,Dawn DeNoon & Christine M. Torres,12016,8810000.0
12,16,264,Spectacle,Peter Leto,Chris Brancato,12014,7890000.0
12,17,265,Pursuit,Jonathan Kaplan,Judith McCreary,12017,7310000.0
12,18,266,Bully,Helen Shaver,Ken Storer,12018,8020000.0
12,19,267,Bombshell,Patrick Creadon,Daniel Truly,12019,8840000.0
12,20,268,Totem,Jonathan Kaplan,Jonathan Greene,12020,8540000.0
12,21,269,Reparations,Constantine Makris,Christine M. Torres,12021,8289999.9999999991
12,22,270,Bang,Peter Leto,Speed Weed,12022,8530000.0
12,23,271,Delinquent,Holly Dale,Dawn DeNoon,12023,8100000.0
12,24,272,Smoked,Helen Shaver,Jonathan Greene & Daniel Truly,12024,8980000.0
13,1,273,Scorched Earth,Michael Slovis,David Matthews,13003,7630000.0
13,2,274,Personal Fouls,Tim McKay,Bryan Goluboff,13002,7240000.0
13,3,275,Blood Brothers,Tom DiCillo,Julie Martin & Warren Leight,13001,7980000.0
13,4,276,Double Strands,Fred Berner,John P. Roche,13004,7340000.0
13,5,277,Missing Pieces,Peter Leto,Julie Martin & Warren Leight,13005,7660000.0
13,6,278,True Believers,Courtney Hunt,Robin Veith,13006,7100000.0
13,7,279,Russian Brides,Alex Chapple,Bryan Goluboff,13007,6700000.0
13,8,280,Educated Guess,Arthur W. Forney,Judith McCreary,13008,7330000.0
13,9,281,Lost Traveller,Jean de Segonzac,Julie Martin & David Matthews,13009,9900000.0
13,10,282,Spiraling Down,Alex Chapple,John P. Roche & Warren Leight,13010,7030000.0
13,11,283,Theatre Tricks,Constantine Makris,"Teleplay: Marygrace O'Shea Story: Marygrace O'Shea, Julie Martin & Warren Leight",13011,8400000.0
13,12,284,Official Story,Michael Smith,Peter Blauner,13012,6420000.0
13,13,285,Father's Shadow,Jean de Segonzac,Julie Martin & Warren Leight,13013,6550000.0
13,14,286,Home Invasions,Jim McKay,Bryan Goluboff,13014,5900000.0
13,15,287,Hunting Ground,Jonathan Kaplan,Teleplay: John P. Roche & David Matthews Story: John P. Roche & Warren Leight,13015,5990000.0
13,16,288,Child's Welfare,Holly Dale,Teleplay: Julie Martin & Peter Blauner Story: Warren Leight,13016,5420000.0
13,17,289,Justice Denied,Michael Slovis,Teleplay: Stuart Feldman Story: Stuart Feldman & Warren Leight,13018,5570000.0
13,18,290,Valentine's Day,Peter Leto,Julie Martin & Warren Leight,13017,5950000.0
13,19,291,Street Revenge,Arthur W. Forney,Teleplay: David Matthews Story: Julie Martin & David Matthews,13020,6560000.0
13,20,292,Father Dearest,Rosemary Rodriguez,Teleplay: John P. Roche Story: John P. Roche & Warren Leight,13021,6620000.0
13,21,293,Learning Curve,Jonathan Herron,Teleplay: Robin Veith Story: Julie Martin & Warren Leight,13019,5900000.0
13,22,294,Strange Beauty,Alex Chapple,Robin Veith & Peter Blauner,13022,5560000.0
13,23,295,Rhodium Nights,Norberto Barba,Julie Martin & Warren Leight,13023,7160000.0
14,1,296,Lost Reputation,Michael Slovis,Julie Martin & Warren Leight,14001,7190000.0
14,2,297,Above Suspicion,Michael Slovis,Julie Martin & Warren Leight,14002,7190000.0
14,3,298,Twenty-Five Acts,Jean de Segonzac,Teleplay by: John P. Roche Story by: Julie Martin & Warren Leight,14003,6240000.0
14,4,299,Acceptable Loss,Alex Chapple,Ed Zuckerman,14004,6250000.0
14,5,300,Manhattan Vigil,Jean de Segonzac,Peter Blauner,14005,6770000.0
14,6,301,Friending Emily,Jim McKay,Kevin Fox,14006,6050000.0
14,7,302,Vanity's Bonfire,Michael Slovis,Teleplay by: Gwendolyn Parker Story by: Gwendolyn Parker & Warren Leight,14007,5780000.0
14,8,303,Lessons Learned,Alex Chapple,Teleplay by: Ed Zuckerman & John P. Roche Story by: Julie Martin & Ed Zuckerman,14008,5200000.0
14,9,304,Dreams Deferred,Michael Smith,Julie Martin & Warren Leight,14009,6160000.0
14,10,305,Presumed Guilty,Courtney Hunt,Kevin Fox,14010,7730000.0
14,11,306,Beautiful Frame,Jean de Segonzac,Peter Blauner,14011,8420000.0
14,12,307,Criminal Hatred,Adam Bernstein,Ed Zuckerman,14012,6420000.0
14,13,308,Monster's Legacy,Jean de Segonzac,Teleplay by: John P. Roche Story by: Julie Martin & Warren Leight,14013,5230000.0
14,14,309,Secrets Exhumed,Laura Belsey,Julie Martin & Warren Leight,14014,6350000.0
14,15,310,Deadly Ambition,Jim McKay,Teleplay by: Julie Martin & Warren Leight Story by: Kevin Fox & Peter Blauner,14015,5610000.0
14,16,311,Funny Valentine,Jean de Segonzac,Gwendolyn M. Parker,14016,5440000.0
14,17,312,Undercover Blue,Michael Smith,Aaron Tracy & Ed Zuckerman,14017,5510000.0
14,18,313,Legitimate Rape,Jonathan Herron,Kevin Fox & Peter Blauner,14018,6610000.0
14,19,314,Born Psychopath,Alex Chapple,Julie Martin & Warren Leight,14019[245],6340000.0
14,20,315,Girl Dishonored,Holly Dale,Teleplay by: Robert Brooks Cohen Story by: Julie Martin & Warren Leight,14020,7350000.0
14,21,316,Traumatic Wound,Alex Zakrzewski,John P. Roche & Gwendolyn Parker,14021,5720000.0
14,22,317,Poisoned Motive,Arthur W. Forney,Teleplay by: Julie Martin & Ed Zuckerman Story by: Warren Leight,14022,6910000.0
14,23,318,Brief Interlude,Kevin Bray,"Teleplay by: Kevin Fox & Peter Blauner Story by: Kevin Fox, Pedro Garcia & Peter Blauner",14023,6480000.0
14,24,319,Her Negotiation,Norberto Barba,Julie Martin & Warren Leight,14024,6660000.0
